Country,Infected,NewInfected,Dead,NewDead,Recovered,Active,Critical,TotCasesPer1M,TotDeadPer1M,FirstCase
USA,158290,14799,2933,350,5211,150146,3402,478,9,20-Jan
Italy,101739,4050,11591,812,14620,75528,3981,1683,192,29-Jan
Spain,85195,5085,7340,537,16780,61075,5231,1822,157,30-Jan
China,81470,31,3304,4,75700,2466,633,57,2,10-Jan
Germany,63929,1494,560,19,9211,54158,1979,763,7,26-Jan
France,44550,4376,3024,418,7927,33599,5056,683,46,23-Jan
Iran,41495,3186,2757,117,13911,24827,3511,494,33,18-Feb
UK,22141,2619,1408,180,135,20598,163,326,21,30-Jan
Switzerland,15760,931,348,48,1823,13589,301,1821,40,24-Feb
Belgium,11899,1063,513,82,1527,9859,927,1027,44,03-Feb
Netherlands,11750,884,864,93,250,10636,1053,686,50,26-Feb
Turkey,10827,1610,168,37,162,10497,568,128,2,09-Mar
S. Korea,9661,78,158,6,5228,4275,59,188,3,19-Jan
Austria,9597,809,108,22,636,8853,193,1066,12,24-Feb
Canada,7297,977,67,2,1014,6216,120,193,2,24-Jan
Portugal,6408,446,140,21,43,6225,164,628,14,01-Mar
Israel,4695,448,16,1,134,4545,66,542,2,20-Feb
Norway,4445,161,32,6,12,4401,97,820,6,25-Feb
Brazil,4371,115,141,5,120,4110,296,21,0.7,24-Feb
Australia,4245,82,18,1,244,3983,28,166,0.7,24-Jan
Sweden,4028,328,146,36,16,3866,306,399,14,30-Jan
Czechia,2942,125,23,7,25,2894,52,275,2,29-Feb
Ireland,2910,295,54,8,5,2851,84,589,11,28-Feb
Malaysia,2626,156,37,2,479,2110,94,81,1,24-Jan
Denmark,2577,182,77,5,1,2499,137,445,13,26-Feb
Chile,2449,310,8,1,156,2285,14,128,0.4,02-Mar
Poland,2055,193,31,9,7,2017,3,54,0.8,03-Mar
Luxembourg,1988,38,22,1,40,1926,25,3176,35,28-Feb
Ecuador,1962,38,60,2,3,1899,58,111,3,28-Feb
Romania,1952,137,52,9,209,1691,33,101,3,25-Feb
Japan,1866,,54,,424,1388,56,15,0.4,14-Jan
Russia,1836,302,9,1,66,1761,8,13,0.06,30-Jan
Pakistan,1690,93,21,7,76,1593,11,8,0.1,25-Feb
Philippines,1546,128,78,7,42,1426,1,14,0.7,29-Jan
Thailand,1524,136,9,2,229,1286,11,22,0.1,12-Jan
Saudi Arabia,1453,154,8,,115,1330,12,42,0.2,01-Mar
Indonesia,1414,129,122,8,75,1217,,5,0.4,01-Mar
Finland,1352,112,13,2,10,1329,49,244,2,28-Jan
South Africa,1326,46,3,1,31,1292,7,22,0.05,04-Mar
Greece,1212,56,43,4,52,1117,72,116,4,25-Feb
Iceland,1086,66,2,,157,927,25,3182,6,27-Feb
India,1071,47,29,2,100,942,,0.8,0.02,29-Jan
Mexico,993,145,20,4,35,938,1,8,0.2,27-Feb
Panama,989,,24,,4,961,36,229,6,09-Mar
Peru,950,98,18,,16,916,49,29,0.5,05-Mar
Dominican Republic,901,42,42,3,4,855,,83,4,29-Feb
Singapore,879,35,3,,228,648,19,150,0.5,22-Jan
Argentina,820,,23,3,228,569,,18,0.5,02-Mar
Colombia,798,96,12,2,15,771,29,16,0.2,05-Mar
Croatia,790,77,6,,67,717,27,192,1,24-Feb
Serbia,785,44,16,3,42,727,62,90,2,05-Mar
Slovenia,756,26,11,,10,735,28,364,5,03-Mar
Estonia,715,36,3,,20,692,10,539,2,26-Feb
Diamond Princess,712,,10,,603,99,15,,,04-Feb
Qatar,693,59,1,,51,641,6,241,0.3,28-Feb
Egypt,656,47,41,1,150,465,,6,0.4,13-Feb
Hong Kong,642,,4,,118,520,5,86,0.5,22-Jan
Iraq,630,83,46,4,152,432,,16,1,21-Feb
UAE,611,41,5,2,61,545,2,62,0.5,28-Jan
New Zealand,589,75,1,,63,525,2,122,0.2,27-Feb
Algeria,584,73,35,4,37,512,,13,0.8,24-Feb
Morocco,534,55,33,7,14,487,1,14,0.9,01-Mar
Bahrain,515,16,4,,279,232,2,303,2,23-Feb
Lithuania,491,31,7,,7,477,5,180,3,27-Feb
Armenia,482,58,3,,30,449,15,163,1,29-Feb
Ukraine,480,5,11,1,6,463,,11,0.3,02-Mar
Hungary,447,39,15,2,34,398,6,46,2,03-Mar
Lebanon,446,8,11,1,35,400,3,65,2,20-Feb
Latvia,376,29,,,1,375,3,199,,01-Mar
