Country,Infected,NewInfected,Dead,NewDead,Recovered,Active,Critical,TotCasesPer1M,TotDeadPer1M,FirstCase
USA,123578,19452,2220,525,3231,118127,2666,373,7,20-Jan
Italy,92472,5974,10023,889,12384,70065,3856,1529,166,29-Jan
China,81394,54,3295,3,74971,3128,886,57,2,10-Jan
Spain,73235,7516,5982,844,12285,54968,4165,1566,128,30-Jan
Germany,57695,6824,433,82,8481,48781,1581,689,5,26-Jan
France,37575,4611,2314,319,5700,29561,4273,576,35,23-Jan
Iran,35408,3076,2517,139,11679,21212,3206,422,30,18-Feb
UK,17089,2546,1019,260,135,15935,163,252,15,30-Jan
Switzerland,14076,1148,264,33,1530,12282,301,1626,31,24-Feb
Netherlands,9762,1159,639,93,3,9120,914,570,37,26-Feb
S. Korea,9478,146,144,5,4811,4523,59,185,3,19-Jan
Belgium,9134,1850,353,64,1063,7718,789,788,30,03-Feb
Austria,8271,574,68,10,225,7978,135,918,8,24-Feb
Turkey,7402,1704,108,16,70,7224,445,88,1,09-Mar
Canada,5655,898,60,5,396,5199,120,150,2,24-Jan
Portugal,5170,902,100,24,43,5027,89,507,10,01-Mar
Norway,4015,244,23,4,7,3985,84,741,4,25-Feb
Brazil,3904,487,114,22,6,3784,296,18,0.5,24-Feb
Australia,3635,257,14,1,170,3451,23,143,0.5,24-Jan
Israel,3619,584,12,,89,3518,50,418,1,20-Feb
Sweden,3447,378,105,,16,3326,239,341,10,30-Jan
Czechia,2631,352,11,2,11,2609,45,246,1,29-Feb
Ireland,2415,294,36,14,5,2374,59,489,7,28-Feb
Malaysia,2320,159,27,1,320,1973,54,72,0.8,24-Jan
Denmark,2201,155,65,13,1,2135,109,380,11,26-Feb
Chile,1909,299,6,1,61,1842,7,100,0.3,02-Mar
Luxembourg,1831,226,18,3,40,1773,25,2925,29,28-Feb
Ecuador,1823,196,48,7,3,1772,58,103,3,28-Feb
Japan,1693,194,52,3,404,1237,56,13,0.4,14-Jan
Poland,1638,249,18,2,7,1613,3,43,0.5,03-Mar
Pakistan,1495,122,12,1,29,1454,7,7,0.05,25-Feb
Romania,1452,160,37,11,139,1276,34,75,2,25-Feb
Russia,1264,228,4,,49,1211,8,9,0.03,30-Jan
Thailand,1245,109,6,1,97,1142,11,18,0.09,12-Jan
Saudi Arabia,1203,99,4,1,37,1162,6,35,0.1,01-Mar
South Africa,1187,17,1,,31,1155,7,20,0.02,04-Mar
Finland,1167,126,9,2,10,1148,32,211,2,28-Jan
Indonesia,1155,109,102,15,59,994,,4,0.4,01-Mar
Philippines,1075,272,68,14,35,972,1,10,0.6,29-Jan
Greece,1061,95,32,4,52,977,66,102,3,25-Feb
India,987,100,24,4,84,879,,0.7,0.02,29-Jan
Iceland,963,73,2,,114,847,18,2822,6,27-Feb
Panama,901,115,17,3,4,880,32,209,4,09-Mar
Singapore,802,70,2,,198,602,19,137,0.3,22-Jan
Argentina,745,156,19,6,72,654,,16,0.4,02-Mar
Dominican Republic,719,138,28,8,3,688,,66,3,29-Feb
Mexico,717,132,12,4,4,701,1,6,0.09,27-Feb
Diamond Princess,712,,10,,597,105,15,,,04-Feb
Slovenia,684,52,9,,10,665,25,329,4,03-Mar
Peru,671,36,16,5,16,639,33,20,0.5,05-Mar
Serbia,659,131,10,2,42,607,25,75,1,05-Mar
Croatia,657,71,5,2,45,607,14,160,1,24-Feb
Estonia,645,70,1,,20,624,10,486,0.8,26-Feb
Colombia,608,69,6,,10,592,,12,0.1,05-Mar
Qatar,590,28,1,1,45,544,6,205,0.3,28-Feb
Egypt,576,40,36,6,121,419,,6,0.4,13-Feb
Hong Kong,560,41,4,,112,444,5,75,0.5,22-Jan
New Zealand,514,146,1,1,56,457,1,107,0.2,27-Feb
Iraq,506,48,42,2,131,333,,13,1,21-Feb
Bahrain,476,10,4,,265,207,1,280,2,23-Feb
UAE,468,63,2,,52,414,2,47,0.2,28-Jan
Algeria,454,45,29,3,31,394,,10,0.7,24-Feb
Lebanon,412,21,8,,30,374,4,60,1,20-Feb
Armenia,407,78,1,,30,376,6,137,0.3,29-Feb
Morocco,402,57,25,2,12,365,1,11,0.7,01-Mar
Lithuania,394,36,7,2,1,386,2,145,3,27-Feb
Ukraine,356,46,9,4,5,342,,8,0.2,02-Mar
Hungary,343,43,11,1,34,298,6,36,1,03-Mar
Bulgaria,331,38,7,4,11,313,8,48,1,06-Mar
Andorra,308,41,3,,1,304,10,3986,39,01-Mar
Latvia,305,25,,,1,304,3,162,,01-Mar
Uruguay,304,66,1,1,,303,9,88,0.3,12-Mar
Costa Rica,295,32,2,,3,290,6,58,0.4,04-Mar
Slovakia,292,23,,,2,290,1,53,,05-Mar
Taiwan,283,16,2,,30,251,,12,0.08,20-Jan
Tunisia,278,51,8,1,2,268,10,24,0.7,01-Mar
Bosnia and Herzegovina,278,41,6,2,8,264,1,85,2,04-Mar
Jordan,246,11,1,,18,227,3,24,0.1,01-Mar
North Macedonia,241,22,4,1,3,234,1,116,2,25-Feb
Kuwait,235,10,,,64,171,11,55,,23-Feb
Moldova,231,32,2,,2,227,33,57,0.5,06-Mar
Kazakhstan,228,78,1,,16,211,,12,0.05,12-Mar
San Marino,224,1,22,1,6,196,16,6602,648,26-Feb
Burkina Faso,207,27,11,2,21,175,,10,0.5,08-Mar
Albania,197,11,10,2,31,156,3,68,3,07-Mar
Réunion,183,38,,,1,182,,204,,10-Mar
Azerbaijan,182,17,4,1,15,163,23,18,0.4,27-Feb
