Country,Infected,NewInfected,Dead,NewDead,Recovered,Active,Critical,TotCasesPer1M,TotDeadPer1M,FirstCase
Turks and Caicos,5,,,,,5,,129,,22-Mar
Gambia,4,,1,,,3,,2,0.4,16-Mar
Nicaragua,4,,1,,,3,,0.6,0.2,18-Mar
Bhutan,4,,,,,4,,5,,05-Mar
Belize,3,,,,,3,,8,,22-Mar
Botswana,3,,,,,3,,1,,29-Mar
British Virgin Islands,3,1,,,,3,,99,,24-Mar
CAR,3,,,,,3,,0.6,,14-Mar
Liberia,3,,,,,3,,0.6,,15-Mar
Somalia,3,,,,1,2,,0.2,,15-Mar
MS Zaandam,2,,,,,2,,,,26-Mar
Anguilla,2,,,,,2,,133,,25-Mar
Papua New Guinea,1,,,,,1,,0.1,,19-Mar
St. Vincent Grenadines,1,,,,1,0,,9,,10-Mar
Sierra Leone,1,1,,,,1,,0.1,,30-Mar
Timor-Leste,1,,,,,1,,0.8,,20-Mar
